pasta_origem;nome_arquivo;tamanho_bytes;rtt_total_segundos;tempo_execucao_segundos;overhead_segundos;status
./arquivos/100KB;arquivo_001.txt;102400;5.57878;0.0;5.57878;Sucesso
./arquivos/100KB;arquivo_002.txt;102400;2.03337;1e-06;2.03337;Sucesso
./arquivos/100KB;arquivo_003.txt;102400;5.08574;0.0;5.08574;Sucesso
./arquivos/100KB;arquivo_004.txt;102400;5.10983;0.0;5.10983;Sucesso
./arquivos/100KB;arquivo_005.txt;102400;4.05837;0.0;4.05837;Sucesso
./arquivos/100KB;arquivo_006.txt;102400;4.61455;0.0;4.61455;Sucesso
./arquivos/100KB;arquivo_007.txt;102400;5.61722;0.0;5.61721;Sucesso
./arquivos/100KB;arquivo_008.txt;102400;1.52845;0.0;1.52845;Sucesso
./arquivos/100KB;arquivo_009.txt;102400;5.10549;0.0;5.10549;Sucesso
./arquivos/100KB;arquivo_010.txt;102400;5.11748;0.0;5.11748;Sucesso
./arquivos/100KB;arquivo_011.txt;102400;5.124;0.0;5.124;Sucesso
./arquivos/100KB;arquivo_012.txt;102400;1.53566;1e-06;1.53566;Sucesso
./arquivos/100KB;arquivo_013.txt;102400;4.56649;0.0;4.56649;Sucesso
./arquivos/100KB;arquivo_014.txt;102400;5.12127;1e-06;5.12127;Sucesso
./arquivos/100KB;arquivo_015.txt;102400;5.61296;0.0;5.61296;Sucesso
./arquivos/100KB;arquivo_016.txt;102400;2.05357;0.0;2.05357;Sucesso
./arquivos/100KB;arquivo_017.txt;102400;4.10899;0.0;4.10899;Sucesso
./arquivos/100KB;arquivo_018.txt;102400;5.1124;0.0;5.1124;Sucesso
./arquivos/100KB;arquivo_019.txt;102400;5.10215;1e-06;5.10215;Sucesso
./arquivos/100KB;arquivo_020.txt;102400;5.10477;0.0;5.10477;Sucesso
./arquivos/100KB;arquivo_021.txt;102400;1.52358;0.0;1.52358;Sucesso
./arquivos/100KB;arquivo_022.txt;102400;4.09294;0.0;4.09294;Sucesso
./arquivos/100KB;arquivo_023.txt;102400;10.74468;0.0;10.74468;Sucesso
./arquivos/100KB;arquivo_024.txt;102400;1.52187;0.0;1.52187;Sucesso
./arquivos/100KB;arquivo_025.txt;102400;2.03441;0.0;2.03441;Sucesso
./arquivos/100KB;arquivo_026.txt;102400;5.09254;1e-06;5.09254;Sucesso
./arquivos/100KB;arquivo_027.txt;102400;4.6148;0.0;4.6148;Sucesso
./arquivos/100KB;arquivo_028.txt;102400;4.02866;0.0;4.02866;Sucesso
./arquivos/100KB;arquivo_029.txt;102400;4.08075;0.0;4.08075;Sucesso
