pasta_origem;nome_arquivo;tamanho_bytes;rtt_total_segundos;tempo_execucao_segundos;overhead_segundos;status
./arquivos/5MB;arquivo_001.txt;5242880;10.70008;0.0;10.70008;Sucesso
./arquivos/5MB;arquivo_002.txt;5242880;14.78866;1e-06;14.78866;Sucesso
./arquivos/5MB;arquivo_003.txt;5242880;14.29234;1e-06;14.29234;Sucesso
./arquivos/5MB;arquivo_004.txt;5242880;14.26488;1e-06;14.26488;Sucesso
./arquivos/5MB;arquivo_005.txt;5242880;14.81393;0.0;14.81393;Sucesso
./arquivos/5MB;arquivo_006.txt;5242880;14.29509;1e-06;14.29509;Sucesso
./arquivos/5MB;arquivo_007.txt;5242880;14.24989;1e-06;14.24989;Sucesso
./arquivos/5MB;arquivo_008.txt;5242880;13.28468;0.0;13.28468;Sucesso
./arquivos/5MB;arquivo_009.txt;5242880;14.27376;1e-06;14.27376;Sucesso
./arquivos/5MB;arquivo_010.txt;5242880;18.3982;1e-06;18.3982;Sucesso
./arquivos/5MB;arquivo_011.txt;5242880;13.82603;0.0;13.82603;Sucesso
./arquivos/5MB;arquivo_012.txt;5242880;13.76561;1e-06;13.76561;Sucesso
./arquivos/5MB;arquivo_013.txt;5242880;13.75697;1e-06;13.75697;Sucesso
./arquivos/5MB;arquivo_014.txt;5242880;18.41035;0.0;18.41035;Sucesso
./arquivos/5MB;arquivo_015.txt;5242880;13.27458;1e-06;13.27458;Sucesso
./arquivos/5MB;arquivo_016.txt;5242880;18.32176;1e-06;18.32175;Sucesso
./arquivos/5MB;arquivo_017.txt;5242880;13.30398;1e-06;13.30398;Sucesso
./arquivos/5MB;arquivo_018.txt;5242880;16.90655;1e-06;16.90655;Sucesso
./arquivos/5MB;arquivo_019.txt;5242880;13.77445;1e-06;13.77445;Sucesso
./arquivos/5MB;arquivo_020.txt;5242880;14.29391;0.0;14.29391;Sucesso
./arquivos/5MB;arquivo_021.txt;5242880;13.76669;1e-06;13.76669;Sucesso
./arquivos/5MB;arquivo_022.txt;5242880;13.75801;1e-06;13.75801;Sucesso
./arquivos/5MB;arquivo_023.txt;5242880;14.25249;1e-06;14.25249;Sucesso
./arquivos/5MB;arquivo_024.txt;5242880;13.71419;1e-06;13.71419;Sucesso
./arquivos/5MB;arquivo_025.txt;5242880;13.77785;1e-06;13.77785;Sucesso
./arquivos/5MB;arquivo_026.txt;5242880;14.2817;1e-06;14.2817;Sucesso
./arquivos/5MB;arquivo_027.txt;5242880;13.30418;1e-06;13.30418;Sucesso
./arquivos/5MB;arquivo_028.txt;5242880;14.28099;1e-06;14.28099;Sucesso
./arquivos/5MB;arquivo_029.txt;5242880;20.4314;0.0;20.4314;Sucesso
./arquivos/5MB;arquivo_030.txt;5242880;15.84183;1e-06;15.84182;Sucesso
./arquivos/5MB;arquivo_031.txt;5242880;15.29319;1e-06;15.29319;Sucesso
./arquivos/5MB;arquivo_032.txt;5242880;13.78643;1e-06;13.78643;Sucesso
./arquivos/5MB;arquivo_033.txt;5242880;14.31253;1e-06;14.31253;Sucesso
./arquivos/5MB;arquivo_034.txt;5242880;14.25538;0.0;14.25538;Sucesso
./arquivos/5MB;arquivo_035.txt;5242880;13.82559;0.0;13.82559;Sucesso
./arquivos/5MB;arquivo_036.txt;5242880;13.77666;1e-06;13.77666;Sucesso
./arquivos/5MB;arquivo_037.txt;5242880;14.31383;0.0;14.31383;Sucesso
./arquivos/5MB;arquivo_038.txt;5242880;19.41981;0.0;19.41981;Sucesso
./arquivos/5MB;arquivo_039.txt;5242880;14.30905;1e-06;14.30905;Sucesso
./arquivos/5MB;arquivo_040.txt;5242880;14.28021;0.0;14.28021;Sucesso
./arquivos/5MB;arquivo_041.txt;5242880;14.32261;1e-06;14.32261;Sucesso
./arquivos/5MB;arquivo_042.txt;5242880;14.28621;1e-06;14.28621;Sucesso
./arquivos/5MB;arquivo_043.txt;5242880;13.79968;1e-06;13.79968;Sucesso
./arquivos/5MB;arquivo_044.txt;5242880;13.27275;1e-06;13.27275;Sucesso
./arquivos/5MB;arquivo_045.txt;5242880;14.29697;1e-06;14.29697;Sucesso
./arquivos/5MB;arquivo_046.txt;5242880;13.81807;0.0;13.81807;Sucesso
./arquivos/5MB;arquivo_047.txt;5242880;13.7552;0.0;13.7552;Sucesso
./arquivos/5MB;arquivo_048.txt;5242880;14.28964;1e-06;14.28964;Sucesso
./arquivos/5MB;arquivo_049.txt;5242880;14.25735;1e-06;14.25735;Sucesso
./arquivos/5MB;arquivo_050.txt;5242880;13.81276;0.0;13.81276;Sucesso
./arquivos/5MB;arquivo_051.txt;5242880;14.32373;1e-06;14.32373;Sucesso
./arquivos/5MB;arquivo_052.txt;5242880;13.76915;1e-06;13.76915;Sucesso
./arquivos/5MB;arquivo_053.txt;5242880;13.81451;0.0;13.81451;Sucesso
./arquivos/5MB;arquivo_054.txt;5242880;14.81881;1e-06;14.81881;Sucesso
./arquivos/5MB;arquivo_055.txt;5242880;13.75911;1e-06;13.75911;Sucesso
./arquivos/5MB;arquivo_056.txt;5242880;13.81873;1e-06;13.81873;Sucesso
./arquivos/5MB;arquivo_057.txt;5242880;14.7888;1e-06;14.7888;Sucesso
./arquivos/5MB;arquivo_058.txt;5242880;13.76624;1e-06;13.76624;Sucesso
./arquivos/5MB;arquivo_059.txt;5242880;18.39476;0.0;18.39476;Sucesso
./arquivos/5MB;arquivo_060.txt;5242880;13.80227;1e-06;13.80227;Sucesso
./arquivos/5MB;arquivo_061.txt;5242880;13.24209;0.0;13.24208;Sucesso
./arquivos/5MB;arquivo_062.txt;5242880;13.29382;0.0;13.29382;Sucesso
./arquivos/5MB;arquivo_063.txt;5242880;13.30136;1e-06;13.30136;Sucesso
./arquivos/5MB;arquivo_064.txt;5242880;13.26569;0.0;13.26569;Sucesso
./arquivos/5MB;arquivo_065.txt;5242880;14.28595;0.0;14.28595;Sucesso
./arquivos/5MB;arquivo_066.txt;5242880;13.73934;1e-06;13.73934;Sucesso
./arquivos/5MB;arquivo_067.txt;5242880;13.79924;1e-06;13.79924;Sucesso
./arquivos/5MB;arquivo_068.txt;5242880;13.81937;1e-06;13.81937;Sucesso
./arquivos/5MB;arquivo_069.txt;5242880;14.85057;1e-06;14.85057;Sucesso
./arquivos/5MB;arquivo_070.txt;5242880;17.89263;0.0;17.89263;Sucesso
./arquivos/5MB;arquivo_071.txt;5242880;15.31499;0.0;15.31499;Sucesso
./arquivos/5MB;arquivo_072.txt;5242880;15.34337;1e-06;15.34336;Sucesso
./arquivos/5MB;arquivo_073.txt;5242880;14.25679;1e-06;14.25679;Sucesso
./arquivos/5MB;arquivo_074.txt;5242880;13.7933;1e-06;13.7933;Sucesso
./arquivos/5MB;arquivo_075.txt;5242880;13.7537;0.0;13.7537;Sucesso
./arquivos/5MB;arquivo_076.txt;5242880;14.8184;1e-06;14.8184;Sucesso
./arquivos/5MB;arquivo_077.txt;5242880;13.29071;1e-06;13.29071;Sucesso
./arquivos/5MB;arquivo_078.txt;5242880;13.2581;1e-06;13.2581;Sucesso
./arquivos/5MB;arquivo_079.txt;5242880;16.32024;0.0;16.32024;Sucesso
./arquivos/5MB;arquivo_080.txt;5242880;13.76459;0.0;13.76459;Sucesso
./arquivos/5MB;arquivo_081.txt;5242880;14.31781;0.0;14.31781;Sucesso
./arquivos/5MB;arquivo_082.txt;5242880;13.28716;0.0;13.28716;Sucesso
./arquivos/5MB;arquivo_083.txt;5242880;14.32906;1e-06;14.32906;Sucesso
./arquivos/5MB;arquivo_084.txt;5242880;14.29905;1e-06;14.29905;Sucesso
./arquivos/5MB;arquivo_085.txt;5242880;14.33168;1e-06;14.33168;Sucesso
./arquivos/5MB;arquivo_086.txt;5242880;13.75312;1e-06;13.75312;Sucesso
./arquivos/5MB;arquivo_087.txt;5242880;14.29865;1e-06;14.29865;Sucesso
./arquivos/5MB;arquivo_088.txt;5242880;13.81568;1e-06;13.81568;Sucesso
./arquivos/5MB;arquivo_089.txt;5242880;18.92315;0.0;18.92315;Sucesso
./arquivos/5MB;arquivo_090.txt;5242880;15.83321;1e-06;15.83321;Sucesso
./arquivos/5MB;arquivo_091.txt;5242880;13.84029;0.0;13.84029;Sucesso
./arquivos/5MB;arquivo_092.txt;5242880;13.80006;1e-06;13.80006;Sucesso
./arquivos/5MB;arquivo_093.txt;5242880;14.29333;1e-06;14.29333;Sucesso
./arquivos/5MB;arquivo_094.txt;5242880;13.29606;0.0;13.29606;Sucesso
./arquivos/5MB;arquivo_095.txt;5242880;13.81191;0.0;13.81191;Sucesso
./arquivos/5MB;arquivo_096.txt;5242880;14.29754;1e-06;14.29754;Sucesso
./arquivos/5MB;arquivo_097.txt;5242880;13.28722;1e-06;13.28722;Sucesso
./arquivos/5MB;arquivo_098.txt;5242880;17.36136;0.0;17.36136;Sucesso
./arquivos/5MB;arquivo_099.txt;5242880;14.30195;1e-06;14.30195;Sucesso
./arquivos/5MB;arquivo_100.txt;5242880;13.79507;1e-06;13.79507;Sucesso
