pasta_origem;nome_arquivo;tamanho_bytes;rtt_total_segundos;tempo_execucao_segundos;overhead_segundos;status
./arquivos/1MB;arquivo_001.txt;1048576;6.62469;0.0;6.62469;Sucesso
./arquivos/1MB;arquivo_002.txt;1048576;5.59876;1e-06;5.59876;Sucesso
./arquivos/1MB;arquivo_003.txt;1048576;6.1183;0.0;6.1183;Sucesso
./arquivos/1MB;arquivo_004.txt;1048576;6.1088;0.0;6.1088;Sucesso
./arquivos/1MB;arquivo_005.txt;1048576;7.13797;0.0;7.13797;Sucesso
./arquivos/1MB;arquivo_006.txt;1048576;7.155;1e-06;7.155;Sucesso
./arquivos/1MB;arquivo_007.txt;1048576;6.11921;1e-06;6.11921;Sucesso
./arquivos/1MB;arquivo_008.txt;1048576;5.61824;1e-06;5.61824;Sucesso
./arquivos/1MB;arquivo_009.txt;1048576;6.13813;1e-06;6.13813;Sucesso
./arquivos/1MB;arquivo_010.txt;1048576;6.10406;0.0;6.10406;Sucesso
./arquivos/1MB;arquivo_011.txt;1048576;6.13303;1e-06;6.13303;Sucesso
./arquivos/1MB;arquivo_012.txt;1048576;6.10124;1e-06;6.10123;Sucesso
./arquivos/1MB;arquivo_013.txt;1048576;6.13279;1e-06;6.13279;Sucesso
./arquivos/1MB;arquivo_014.txt;1048576;6.138;0.0;6.138;Sucesso
./arquivos/1MB;arquivo_015.txt;1048576;6.13425;0.0;6.13425;Sucesso
./arquivos/1MB;arquivo_016.txt;1048576;6.64387;1e-06;6.64387;Sucesso
./arquivos/1MB;arquivo_017.txt;1048576;5.60164;0.0;5.60164;Sucesso
./arquivos/1MB;arquivo_018.txt;1048576;5.63249;0.0;5.63248;Sucesso
./arquivos/1MB;arquivo_019.txt;1048576;5.59658;1e-06;5.59658;Sucesso
./arquivos/1MB;arquivo_020.txt;1048576;6.13469;0.0;6.13469;Sucesso
./arquivos/1MB;arquivo_021.txt;1048576;5.61178;1e-06;5.61178;Sucesso
./arquivos/1MB;arquivo_022.txt;1048576;6.65451;1e-06;6.65451;Sucesso
./arquivos/1MB;arquivo_023.txt;1048576;6.15585;1e-06;6.15585;Sucesso
./arquivos/1MB;arquivo_024.txt;1048576;6.14587;0.0;6.14587;Sucesso
./arquivos/1MB;arquivo_025.txt;1048576;5.07632;1e-06;5.07632;Sucesso
./arquivos/1MB;arquivo_026.txt;1048576;6.12637;1e-06;6.12637;Sucesso
./arquivos/1MB;arquivo_027.txt;1048576;6.12201;0.0;6.12201;Sucesso
./arquivos/1MB;arquivo_028.txt;1048576;11.73475;0.0;11.73475;Sucesso
./arquivos/1MB;arquivo_029.txt;1048576;5.61421;0.0;5.61421;Sucesso
./arquivos/1MB;arquivo_030.txt;1048576;5.62439;0.0;5.62439;Sucesso
./arquivos/1MB;arquivo_031.txt;1048576;6.63705;0.0;6.63705;Sucesso
./arquivos/1MB;arquivo_032.txt;1048576;6.13584;0.0;6.13584;Sucesso
./arquivos/1MB;arquivo_033.txt;1048576;5.62105;0.0;5.62105;Sucesso
./arquivos/1MB;arquivo_034.txt;1048576;6.13482;1e-06;6.13482;Sucesso
./arquivos/1MB;arquivo_035.txt;1048576;7.69402;1e-06;7.69402;Sucesso
./arquivos/1MB;arquivo_036.txt;1048576;6.64656;0.0;6.64656;Sucesso
./arquivos/1MB;arquivo_037.txt;1048576;6.12852;1e-06;6.12852;Sucesso
./arquivos/1MB;arquivo_038.txt;1048576;5.61356;0.0;5.61356;Sucesso
./arquivos/1MB;arquivo_039.txt;1048576;5.6145;1e-06;5.6145;Sucesso
./arquivos/1MB;arquivo_040.txt;1048576;6.63385;0.0;6.63385;Sucesso
./arquivos/1MB;arquivo_041.txt;1048576;5.61234;0.0;5.61234;Sucesso
./arquivos/1MB;arquivo_042.txt;1048576;5.64674;1e-06;5.64674;Sucesso
./arquivos/1MB;arquivo_043.txt;1048576;6.13018;1e-06;6.13018;Sucesso
./arquivos/1MB;arquivo_044.txt;1048576;6.61091;1e-06;6.61091;Sucesso
./arquivos/1MB;arquivo_045.txt;1048576;6.09426;0.0;6.09426;Sucesso
./arquivos/1MB;arquivo_046.txt;1048576;6.13713;1e-06;6.13713;Sucesso
./arquivos/1MB;arquivo_047.txt;1048576;5.6115;1e-06;5.6115;Sucesso
./arquivos/1MB;arquivo_048.txt;1048576;6.15941;1e-06;6.15941;Sucesso
./arquivos/1MB;arquivo_049.txt;1048576;7.65319;0.0;7.65319;Sucesso
./arquivos/1MB;arquivo_050.txt;1048576;5.63259;0.0;5.63258;Sucesso
./arquivos/1MB;arquivo_051.txt;1048576;6.08439;1e-06;6.08439;Sucesso
./arquivos/1MB;arquivo_052.txt;1048576;5.61844;0.0;5.61844;Sucesso
./arquivos/1MB;arquivo_053.txt;1048576;6.6604;1e-06;6.6604;Sucesso
./arquivos/1MB;arquivo_054.txt;1048576;6.14383;1e-06;6.14383;Sucesso
./arquivos/1MB;arquivo_055.txt;1048576;5.61139;0.0;5.61139;Sucesso
./arquivos/1MB;arquivo_056.txt;1048576;6.60734;1e-06;6.60734;Sucesso
./arquivos/1MB;arquivo_057.txt;1048576;6.142;1e-06;6.142;Sucesso
./arquivos/1MB;arquivo_058.txt;1048576;6.14123;0.0;6.14123;Sucesso
./arquivos/1MB;arquivo_059.txt;1048576;6.10606;0.0;6.10606;Sucesso
./arquivos/1MB;arquivo_060.txt;1048576;5.58378;0.0;5.58378;Sucesso
./arquivos/1MB;arquivo_061.txt;1048576;6.63912;1e-06;6.63912;Sucesso
./arquivos/1MB;arquivo_062.txt;1048576;6.11188;1e-06;6.11187;Sucesso
./arquivos/1MB;arquivo_063.txt;1048576;6.65789;1e-06;6.65789;Sucesso
./arquivos/1MB;arquivo_064.txt;1048576;5.6298;1e-06;5.6298;Sucesso
./arquivos/1MB;arquivo_065.txt;1048576;6.13312;1e-06;6.13312;Sucesso
./arquivos/1MB;arquivo_066.txt;1048576;6.12496;1e-06;6.12496;Sucesso
./arquivos/1MB;arquivo_067.txt;1048576;6.61254;1e-06;6.61254;Sucesso
./arquivos/1MB;arquivo_068.txt;1048576;6.13552;0.0;6.13552;Sucesso
./arquivos/1MB;arquivo_069.txt;1048576;6.15352;0.0;6.15352;Sucesso
./arquivos/1MB;arquivo_070.txt;1048576;7.63081;0.0;7.63081;Sucesso
