nome_arquivo;tamanho_bytes;rtt_total_segundos;tempo_execucao_segundos;overhead_segundos;status
arquivo_001.txt;5708795;4,60073;0,74389;3,85684;Sucesso
arquivo_002.txt;10485760;5,14735;1,693406;3,45395;Sucesso
arquivo_003.txt;10485760;2,56743;1,64073;0,9267;Sucesso
arquivo_004.txt;10485760;4,59729;1,662423;2,93486;Sucesso
arquivo_005.txt;10485760;4,616;1,860073;2,75593;Sucesso
arquivo_006.txt;10485760;4,07723;1,616968;2,46026;Sucesso
arquivo_007.txt;10485760;4,09555;1,673339;2,42221;Sucesso
arquivo_008.txt;10485760;5,1049;1,655752;3,44915;Sucesso
arquivo_009.txt;10485760;5,64172;1,659876;3,98185;Sucesso
arquivo_010.txt;10485760;3,0675;1,661039;1,40646;Sucesso
arquivo_011.txt;10485760;4,59506;1,647618;2,94744;Sucesso
arquivo_012.txt;10485760;4,61426;1,691164;2,92309;Sucesso
arquivo_013.txt;10485760;5,10911;1,785397;3,32372;Sucesso
arquivo_014.txt;10485760;2,55588;1,64777;0,90811;Sucesso
arquivo_015.txt;10485760;5,6131;1,624293;3,9888;Sucesso
arquivo_016.txt;10485760;5,62472;1,79564;3,82908;Sucesso
arquivo_017.txt;10485760;3,06175;1,691717;1,37003;Sucesso
arquivo_018.txt;10485760;2,04234;1,559429;0,48291;Sucesso
arquivo_019.txt;10485760;5,59637;1,74637;3,85;Sucesso
arquivo_020.txt;10485760;4,58752;1,646883;2,94064;Sucesso
arquivo_021.txt;10485760;5,107;2,095927;3,01107;Sucesso
arquivo_022.txt;10485760;3,05503;1,648314;1,40672;Sucesso
arquivo_023.txt;10485760;5,08697;1,540099;3,54687;Sucesso
arquivo_024.txt;10485760;4,5928;1,547464;3,04534;Sucesso
arquivo_025.txt;10485760;4,09713;1,64426;2,45287;Sucesso
arquivo_026.txt;10485760;2,57414;1,864515;0,70962;Sucesso
arquivo_027.txt;10485760;4,5919;1,635349;2,95655;Sucesso
arquivo_028.txt;10485760;5,06765;1,759371;3,30828;Sucesso
arquivo_029.txt;10485760;5,10586;1,486263;3,6196;Sucesso
arquivo_030.txt;10485760;2,56305;1,656133;0,90692;Sucesso
arquivo_031.txt;10485760;5,63682;2,277172;3,35965;Sucesso
arquivo_032.txt;10485760;4,587;1,649001;2,938;Sucesso
arquivo_033.txt;10485760;4,59038;1,669888;2,92049;Sucesso
arquivo_034.txt;10485760;3,07204;1,631758;1,44028;Sucesso
arquivo_035.txt;10485760;7,66511;4,476709;3,1884;Sucesso
arquivo_036.txt;10485760;3,55886;2,631242;0,92762;Sucesso
arquivo_037.txt;10485760;2,56739;1,745761;0,82163;Sucesso
arquivo_038.txt;10485760;2,55255;1,673702;0,87885;Sucesso
arquivo_039.txt;10485760;4,59786;1,492879;3,10498;Sucesso
arquivo_040.txt;10485760;5,11115;1,745243;3,3659;Sucesso
arquivo_041.txt;10485760;4,59892;1,561671;3,03725;Sucesso
arquivo_042.txt;10485760;3,09213;1,648942;1,44319;Sucesso
arquivo_043.txt;10485760;4,59614;1,614942;2,9812;Sucesso
arquivo_044.txt;10485760;5,11366;1,638863;3,4748;Sucesso
arquivo_045.txt;10485760;5,11319;1,559173;3,55402;Sucesso
arquivo_046.txt;10485760;3,07097;1,658091;1,41288;Sucesso
arquivo_047.txt;10485760;4,58031;1,791404;2,7889;Sucesso
arquivo_048.txt;10485760;4,60679;1,625397;2,98139;Sucesso
arquivo_049.txt;10485760;4,59792;1,723655;2,87426;Sucesso
arquivo_050.txt;10485760;2,5543;1,610172;0,94413;Sucesso
arquivo_051.txt;10485760;5,10186;1,567567;3,53429;Sucesso
arquivo_052.txt;10485760;5,61986;1,65321;3,96665;Sucesso
arquivo_053.txt;10485760;4,58417;1,577394;3,00677;Sucesso
arquivo_054.txt;10485760;2,54464;1,902585;0,64205;Sucesso
arquivo_055.txt;10485760;4,5523;1,663984;2,88832;Sucesso
arquivo_056.txt;10485760;5,10755;1,924407;3,18314;Sucesso
arquivo_057.txt;10485760;9,69396;6,377521;3,31644;Sucesso
